Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291905, E,37.55457012, N,0.0554 m,---,13.0733,,211415.412,550568.572,,,car,검정색, 2-1
2,127.1291907, E,37.55457061, N,0.0664 m,0.0554 m,15.7209,,211415.425,550568.626,,,,,
3,127.1291909, E,37.55457118, N,0.03894 m,0.1218 m,12.2902,,211415.443,550568.69,,,,,
4,127.129191, E,37.55457152, N,0.03031 m,0.1607 m,13.0733,,211415.451,550568.728,,,,,
5,127.129191, E,37.55457179, N,0.03835 m,0.191 m,11.7926,,211415.458,550568.757,,,,,
6,127.1291911, E,37.55457213, N,0.0816 m,0.2294 m,8.8855,,211415.466,550568.795,,,,,
7,127.1291913, E,37.55457286, N,0.0988 m,0.311 m,15.0684,,211415.478,550568.875,,,,,
8,127.1291916, E,37.55457372, N,0.0918 m,0.4098 m,16.2432,,211415.504,550568.971,,,,,
9,127.1291918, E,37.55457451, N,0.0633 m,0.502 m,15.5773,,211415.529,550569.059,,,,,
10,127.129192, E,37.55457506, N,0.0623 m,0.565 m,20.6137,,211415.546,550569.12,,,,,
11,127.1291923, E,37.55457558, N,0.1168 m,0.627 m,21.0261,,211415.568,550569.178,,,,,
12,127.1291928, E,37.55457657, N,0.1353 m,0.744 m,25.8368,,211415.61,550569.287,,,,,
13,127.1291934, E,37.55457766, N,0.1716 m,0.879 m,28.5528,,211415.669,550569.409,,,,,
14,127.1291944, E,37.55457902, N,0.1883 m,1.051 m,18.2677,,211415.75,550569.56,,,,,
15,127.129195, E,37.55458063, N,0.1668 m,1.239 m,15.1798,,211415.809,550569.739,,,,,
16,127.1291955, E,37.55458208, N,0.2118 m,1.406 m,19.8255,,211415.853,550569.9,,,,,
17,127.1291963, E,37.55458388, N,0.2395 m,1.618 m,7.1279,,211415.924,550570.099,,,,,
18,127.1291967, E,37.55458602, N,0.2318 m,1.857 m,14.1149,,211415.954,550570.337,,,,,
19,127.1291973, E,37.55458804, N,0.2404 m,2.089 m,8.6396,,211416.01,550570.562,,,,,
20,127.1291977, E,37.55459019, N,0.3352 m,2.329 m,13.5569,,211416.046,550570.8,,,,,
21,127.1291986, E,37.55459312, N,0.2595 m,2.665 m,12.883,,211416.124,550571.126,,,,,
22,127.1291993, E,37.5545954, N,0.2699 m,2.924 m,11.5482,,211416.181,550571.379,,,,,
23,127.1291999, E,37.55459778, N,0.3336 m,3.194 m,12.4647,,211416.235,550571.643,,,,,
24,127.1292007, E,37.55460072, N,0.3076 m,3.528 m,15.5008,,211416.306,550571.969,,,,,
25,127.1292016, E,37.55460339, N,0.3474 m,3.835 m,11.9674,,211416.388,550572.266,,,,,
26,127.1292024, E,37.55460645, N,0.3397 m,4.183 m,14.0104,,211416.46,550572.606,,,,,
27,127.1292034, E,37.55460942, N,0.3699 m,4.522 m,11.2334,,211416.542,550572.935,,,,,
28,127.1292042, E,37.55461269, N,0.3966 m,4.892 m,7.1121,,211416.613,550573.298,,,,,
29,127.1292047, E,37.55461624, N,0.3587 m,5.289 m,4.1644,,211416.662,550573.692,,,,,
30,127.129205, E,37.55461946, N,0.4286 m,5.648 m,12.1257,,211416.687,550574.05,,,,,
31,127.1292061, E,37.55462324, N,0.343 m,6.076 m,7.7862,,211416.777,550574.469,,,,,
32,127.1292066, E,37.5546263, N,0.3486 m,6.419 m,8.2979,,211416.823,550574.809,,,,,
33,127.1292071, E,37.55462941, N,0.3406 m,6.768 m,11.7681,,211416.873,550575.154,,,,,
34,127.1292079, E,37.55463241, N,0.4294 m,7.109 m,354.6991,,211416.942,550575.487,,,,,
35,127.1292075, E,37.55463626, N,0.4664 m,7.538 m,2.9059,,211416.901,550575.915,,,,,
36,127.1292078, E,37.55464046, N,0.3864 m,8.004 m,4.3466,,211416.924,550576.381,,,,,
37,127.1292081, E,37.55464393, N,0.3968 m,8.391 m,0.0786,,211416.953,550576.766,,,,,
38,127.1292081, E,37.55464751, N,0.3779 m,8.788 m,1.0999,,211416.953,550577.163,,,,,
39,127.1292082, E,37.55465091, N,0.4513 m,9.165 m,353.7386,,211416.96,550577.541,,,,,
40,127.1292076, E,37.55465495, N,0.4308 m,9.617 m,355.4845,,211416.91,550577.989,,,,,
41,127.1292072, E,37.55465882, N,0.4869 m,10.048 m,359.8535,,211416.875,550578.419,,,,,
42,127.1292072, E,37.55466321, N,0.4452 m,10.535 m,354.1473,,211416.874,550578.906,,,,,
43,127.1292067, E,37.5546672, N,0.4587 m,10.98 m,352.1519,,211416.828,550579.348,,,,,
44,127.129206, E,37.55467129, N,0.4479 m,11.438 m,347.4702,,211416.764,550579.803,,,,,
45,127.1292049, E,37.55467523, N,0.509 m,11.886 m,353.5957,,211416.667,550580.24,,,,,
46,127.1292043, E,37.55467979, N,0.4329 m,12.396 m,340.681,,211416.609,550580.746,,,,,
47,127.1292026, E,37.55468347, N,0.4854 m,12.828 m,346.3718,,211416.465,550581.154,,,,,
48,127.1292013, E,37.55468772, N,0.4619 m,13.314 m,341.1927,,211416.35,550581.626,,,,,
49,127.1291996, E,37.55469166, N,0.4806 m,13.776 m,339.0413,,211416.201,550582.063,,,,,
50,127.1291977, E,37.55469571, N,0.4712 m,14.256 m,336.3293,,211416.028,550582.511,,,,,
51,127.1291956, E,37.5546996, N,0.528 m,14.728 m,330.7211,,211415.838,550582.943,,,,,
52,127.1291926, E,37.55470374, N,0.51 m,15.255 m,336.1164,,211415.58,550583.403,,,,,
53,127.1291903, E,37.55470794, N,0.453 m,15.765 m,326.994,,211415.373,550583.869,,,,,
54,127.1291875, E,37.55471137, N,0.4961 m,16.218 m,326.1756,,211415.125,550584.248,,,,,
55,127.1291844, E,37.55471508, N,0.4861 m,16.714 m,332.6044,,211414.849,550584.66,,,,,
56,127.1291819, E,37.55471897, N,0.517 m,17.2 m,332.2313,,211414.624,550585.091,,,,,
57,127.1291791, E,37.55472309, N,0.527 m,17.718 m,320.3934,,211414.383,550585.548,,,,,
58,127.1291753, E,37.55472675, N,0.558 m,18.244 m,325.1595,,211414.046,550585.954,,,,,
59,127.1291717, E,37.55473087, N,0.4959 m,18.802 m,320.0181,,211413.727,550586.411,,,,,
60,127.1291681, E,37.5547343, N,0.4822 m,19.298 m,317.2536,,211413.408,550586.791,,,,,
61,127.1291644, E,37.55473749, N,0.543 m,19.78 m,317.0094,,211413.08,550587.144,,,,,
62,127.1291602, E,37.55474107, N,0.513 m,20.323 m,316.4428,,211412.709,550587.541,,,,,
63,127.1291562, E,37.55474441, N,0.534 m,20.836 m,322.2219,,211412.356,550587.912,,,,,
64,127.1291525, E,37.55474822, N,0.583 m,21.37 m,314.013,,211412.028,550588.334,,,,,
65,127.1291478, E,37.55475187, N,0.578 m,21.953 m,312.6593,,211411.608,550588.738,,,,,
66,127.129143, E,37.55475539, N,0.4787 m,22.531 m,298.7991,,211411.182,550589.129,,,,,
67,127.1291382, E,37.55475747, N,0.614 m,23.01 m,305.5542,,211410.763,550589.359,,,,,
68,127.1291326, E,37.55476069, N,0.637 m,23.624 m,304.774,,211410.262,550589.716,,,,,
69,127.1291266, E,37.55476396, N,0.582 m,24.26 m,302.3545,,211409.739,550590.078,,,,,
70,127.1291211, E,37.55476677, N,0.637 m,24.842 m,298.3796,,211409.247,550590.389,,,,,
71,127.1291147, E,37.55476949, N,0.537 m,25.479 m,299.9378,,211408.687,550590.691,,,,,
72,127.1291095, E,37.55477191, N,0.654 m,26.016 m,296.2971,,211408.221,550590.958,,,,,
73,127.1291028, E,37.55477452, N,0.627 m,26.67 m,295.8481,,211407.634,550591.247,,,,,
74,127.1290965, E,37.55477698, N,0.581 m,27.296 m,293.7814,,211407.07,550591.519,,,,,
75,127.1290904, E,37.55477909, N,0.683 m,27.877 m,290.0619,,211406.538,550591.753,,,,,
76,127.1290832, E,37.5547812, N,0.628 m,28.56 m,288.1392,,211405.896,550591.986,,,,,
77,127.1290764, E,37.55478296, N,0.618 m,29.188 m,288.4187,,211405.3,550592.181,,,,,
78,127.1290698, E,37.55478472, N,0.684 m,29.806 m,284.9052,,211404.713,550592.375,,,,,
79,127.1290623, E,37.55478631, N,0.667 m,30.49 m,285.8711,,211404.051,550592.55,,,,,
80,127.1290551, E,37.55478795, N,0.644 m,31.158 m,279.3513,,211403.409,550592.732,,,,,
81,127.1290479, E,37.55478889, N,0.67 m,31.801 m,282.367,,211402.773,550592.836,,,,,
82,127.1290404, E,37.55479019, N,0.608 m,32.472 m,281.1489,,211402.118,550592.978,,,,,
83,127.1290337, E,37.55479125, N,0.653 m,33.08 m,276.9215,,211401.522,550593.095,,,,,
84,127.1290264, E,37.55479196, N,0.626 m,33.733 m,282.0285,,211400.873,550593.173,,,,,
85,127.1290194, E,37.55479313, N,0.744 m,34.359 m,276.5843,,211400.26,550593.303,,,,,
86,127.1290111, E,37.5547939, N,0.682 m,35.104 m,273.3491,,211399.521,550593.387,,,,,
87,127.1290034, E,37.55479426, N,0.65 m,35.786 m,273.5123,,211398.84,550593.426,,,,,
88,127.128996, E,37.55479462, N,0.658 m,36.435 m,275.7331,,211398.192,550593.465,,,,,
89,127.1289886, E,37.55479521, N,0.663 m,37.094 m,274.0045,,211397.537,550593.53,,,,,
90,127.1289811, E,37.55479563, N,0.721 m,37.757 m,273.6871,,211396.875,550593.575,,,,,
91,127.128973, E,37.55479605, N,0.676 m,38.478 m,276.6921,,211396.155,550593.621,,,,,
92,127.1289654, E,37.55479676, N,0.706 m,39.154 m,274.2012,,211395.484,550593.698,,,,,
93,127.1289574, E,37.55479722, N,0.712 m,39.86 m,273.9969,,211394.779,550593.749,,,,,
94,127.1289494, E,37.55479767, N,0.672 m,40.572 m,271.7389,,211394.069,550593.798,,,,,
95,127.1289418, E,37.55479785, N,0.72 m,41.243 m,270.0786,,211393.398,550593.817,,,,,
96,127.1289336, E,37.55479786, N,0.739 m,41.963 m,270.0786,,211392.678,550593.817,,,,,
97,127.1289253, E,37.55479787, N,0.701 m,42.703 m,273.2584,,211391.939,550593.817,,,,,
98,127.1289173, E,37.55479823, N,0.739 m,43.404 m,270.0786,,211391.238,550593.856,,,,,
99,127.128909, E,37.55479824, N,0.713 m,44.144 m,274.7773,,211390.499,550593.856,,,,,
100,127.1289009, E,37.55479877, N,0.749 m,44.856 m,269.3345,,211389.789,550593.915,,,,,
101,127.1288924, E,37.5547987, N,0.742 m,45.605 m,274.5926,,211389.04,550593.905,,,,,
102,127.1288841, E,37.55479923, N,0.745 m,46.347 m,273.0717,,211388.3,550593.963,,,,,
103,127.1288757, E,37.55479959, N,0.759 m,47.092 m,271.5474,,211387.556,550594.002,,,,,
104,127.1288671, E,37.55479977, N,0.778 m,47.851 m,271.5107,,211386.797,550594.022,,,,,
105,127.1288583, E,37.55479996, N,0.76 m,48.63 m,270.949,,211386.019,550594.041,,,,,
106,127.1288497, E,37.55480007, N,0.779 m,49.39 m,272.941,,211385.259,550594.053,,,,,
